"filename", "language", "JavaScript", "vue", "Properties", "JSON", "JSON with Comments", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"d:\HUST\20222\DATN\gigify\client\.env", "Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\HUST\20222\DATN\gigify\client\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 12, 30
"d:\HUST\20222\DATN\gigify\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"d:\HUST\20222\DATN\gigify\client\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 5, 0, 0, 0, 0, 6, 0, 11
"d:\HUST\20222\DATN\gigify\client\package-lock.json", "JSON", 0, 0, 0, 19576, 0, 0, 0, 0, 0, 0, 1, 19577
"d:\HUST\20222\DATN\gigify\client\package.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"d:\HUST\20222\DATN\gigify\client\src\App.vue", "vue", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 16, 91
"d:\HUST\20222\DATN\gigify\client\src\apis\apiConfig.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 33
"d:\HUST\20222\DATN\gigify\client\src\apis\attachmentApi.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"d:\HUST\20222\DATN\gigify\client\src\apis\authApi.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\HUST\20222\DATN\gigify\client\src\apis\baseApi.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 112
"d:\HUST\20222\DATN\gigify\client\src\apis\contractApi.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"d:\HUST\20222\DATN\gigify\client\src\apis\messageApi.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\HUST\20222\DATN\gigify\client\src\apis\proposalApi.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"d:\HUST\20222\DATN\gigify\client\src\apis\userApi.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"d:\HUST\20222\DATN\gigify\client\src\apis\workApi.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 85
"d:\HUST\20222\DATN\gigify\client\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 71, 0, 0, 0, 6, 19, 96
"d:\HUST\20222\DATN\gigify\client\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\HUST\20222\DATN\gigify\client\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 13, 6, 35
"d:\HUST\20222\DATN\gigify\client\src\components\ChatBox.vue", "vue", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 19, 243
"d:\HUST\20222\DATN\gigify\client\src\components\ContractDetailPopup.vue", "vue", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 6, 133
"d:\HUST\20222\DATN\gigify\client\src\components\DialogPopup.vue", "vue", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"d:\HUST\20222\DATN\gigify\client\src\components\HelloWorld.vue", "vue", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"d:\HUST\20222\DATN\gigify\client\src\components\RatingPopup.vue", "vue", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"d:\HUST\20222\DATN\gigify\client\src\components\TheHeader.vue", "vue", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 6, 107
"d:\HUST\20222\DATN\gigify\client\src\components\TheWelcome.vue", "vue", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\HUST\20222\DATN\gigify\client\src\components\WelcomeItem.vue", "vue", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 11, 86
"d:\HUST\20222\DATN\gigify\client\src\components\WorkCard.vue", "vue", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 13, 118
"d:\HUST\20222\DATN\gigify\client\src\components\WorkCardFreelancer.vue", "vue", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"d:\HUST\20222\DATN\gigify\client\src\components\WorkDetailFreelancerPopup.vue", "vue", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 14, 163
"d:\HUST\20222\DATN\gigify\client\src\components\icons\IconCommunity.vue", "vue", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\HUST\20222\DATN\gigify\client\src\components\icons\IconDocumentation.vue", "vue", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\HUST\20222\DATN\gigify\client\src\components\icons\IconEcosystem.vue", "vue", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\HUST\20222\DATN\gigify\client\src\components\icons\IconSupport.vue", "vue", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\HUST\20222\DATN\gigify\client\src\components\icons\IconTooling.vue", "vue", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 1, 20
"d:\HUST\20222\DATN\gigify\client\src\constants\enums.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"d:\HUST\20222\DATN\gigify\client\src\constants\skillList.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\HUST\20222\DATN\gigify\client\src\main.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 48
"d:\HUST\20222\DATN\gigify\client\src\router\index.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 143
"d:\HUST\20222\DATN\gigify\client\src\services\commonUlti.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\HUST\20222\DATN\gigify\client\src\services\useAttachment.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"d:\HUST\20222\DATN\gigify\client\src\stores\authStore.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"d:\HUST\20222\DATN\gigify\client\src\stores\counterStore.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\HUST\20222\DATN\gigify\client\src\stores\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\HUST\20222\DATN\gigify\client\src\stores\loadingStore.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\HUST\20222\DATN\gigify\client\src\views\AboutView.vue", "vue", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\HUST\20222\DATN\gigify\client\src\views\EditUserInfo.vue", "vue", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 16, 126
"d:\HUST\20222\DATN\gigify\client\src\views\HomeView.vue", "vue", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\HUST\20222\DATN\gigify\client\src\views\LoginView.vue", "vue", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"d:\HUST\20222\DATN\gigify\client\src\views\SignUpView.vue", "vue", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 14, 116
"d:\HUST\20222\DATN\gigify\client\src\views\client\ClientView.vue", "vue", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 11, 117
"d:\HUST\20222\DATN\gigify\client\src\views\client\EditPostView.vue", "vue", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 17, 123
"d:\HUST\20222\DATN\gigify\client\src\views\client\NewContractView.vue", "vue", 0, 91, 0, 0, 0, 0, 0, 0, 0, 1, 13, 105
"d:\HUST\20222\DATN\gigify\client\src\views\client\NewPostView.vue", "vue", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 18, 110
"d:\HUST\20222\DATN\gigify\client\src\views\client\WorkDetailViewClient.vue", "vue", 0, 271, 0, 0, 0, 0, 0, 0, 0, 0, 20, 291
"d:\HUST\20222\DATN\gigify\client\src\views\freelancer\ContractListView.vue", "vue", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 9, 75
"d:\HUST\20222\DATN\gigify\client\src\views\freelancer\FreelancerView.vue", "vue", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"d:\HUST\20222\DATN\gigify\client\src\views\freelancer\FreelancerWorksView.vue", "vue", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 10, 86
"d:\HUST\20222\DATN\gigify\client\src\views\freelancer\ProposalListView.vue", "vue", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\HUST\20222\DATN\gigify\client\src\views\freelancer\WorkDetail.vue", "vue", 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 13, 81
"d:\HUST\20222\DATN\gigify\client\src\views\system\403.vue", "vue", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\HUST\20222\DATN\gigify\client\src\views\system\404.vue", "vue", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\HUST\20222\DATN\gigify\client\vite.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"Total", "-", 669, 2426, 1, 19607, 5, 87, 1, 18, 15, 53, 452, 23334
